exercise,type,body_region,equipment,primary_muscles_worked,video_link,exercise_description,s3_url
Externally Rotated Wrist Stretch,Stretch,Upper Extremity,None,"Flexor Range of Motionpi Ulnaris, Flexor Capri Radialis, Flexor Digitorum, Brachialis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Externally%20Rotated%20Wrist%20Stretch.mp4,"Externally Rotated Wrist Stretch begins in a quadruped position on the floor, with hands beneath the shoulders, and fingers turned back towards you, directing the eye of the elbow forward. To initiate the movement, lean the body back to feel a stretch along the wrist, then lean back forward to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Externally_Rotated_Wrist_Stretch.mp4
Toe Flexion Mobilization,Range of motion,lower Extremity,None,Flexor Digitorum Longus,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/WL_2022%2006%20JUN_Toe%20Flexion%20Mobilization.mp4,"Toe Flexion Mobilization begins in a tall standing position, with feet about hip-width apart, core braced, the crown of the head tall, and arms hanging by your sides. To come into the starting position, lift the heel of one foot, bringing a bend into this knee, as well as a minor bend in the stable foot. To initiate the movement, bend the knee of the heel raised foot even more, drawing the knee forward, and bringing the weight more into the toes, going until you feel some sensation. Then, gently back off of the sensation for a moment before moving into your next repetition.",https://d351vh8f4f3ihs.cloudfront.net/WL_2022_06_JUN_Toe_Flexion_Mobilization.mp4
Elbow Circles,Range of motion,Upper Extremity,None,"Forearm Extensors, Forearm Flexors",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Elbow%20Circles.mp4,"Elbow Circles begins in a standing position, with one elbow bent and thumb facing the top of the shoulder. To initiate the movement, simultaneously pull the elbow in towards the body as you extend the forearm out away from the body, thumb points out. Then, rotate the thumb to face in towards the mid-line of the body, draw the thumb in towards the neck and you're back at the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Elbow_Circles.mp4
Bicep Curl,Strengthening,Upper Extremity,Dumbbell/Soup Can,Biceps,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Dumbbell%20Bicep%20Curl.mp4,"Dumbbell/Soup Can Bicep Curl begins in a tall standing position, with Dumbbell/Soup Cans held in either hand in a supinated grip and Dumbbell/Soup Cans hanging down by the hips. To initiate the movement, begin to flex at the elbows to pull the Dumbbell/Soup Cans up towards the shoulders. Then, with control, lower the weights back down to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Dumbbell_Bicep_Curl.mp4
 Row to Kickback,Strengthening,Upper Extremity,Dumbbell/Soup Can,"Lattisimus Dorsi, Bicep, Tricep",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Dumbbell%20Row%20to%20Kickback.mp4,"Dumbbell Row to Kickback begins in an incline plank position, with one hand on a bench or box, and toes on the floor, with knees bent and the other hand gripping a dumbbell in a neutral position, dumbbell hanging beneath the shoulder. To initiate the movement, pull the dumbbell up towards the top of the ribcage, then extend the arm back behind you. Next, pull the dumbbell back in towards the ribs, then lower the dumbbell back down to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Dumbbell_Row_to_Kickback.mp4
Bench Push-Up,Strengthening,Upper Extremity,Bench,"Pectoralis, Anterior Deltoids",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Bench%20Push-Ups.mp4,"Bench Push-Up begins in a high plank position with hands placed on a bench, wider than shoulder-width apart, with toes on the floor. To initiate the movement, lower the chest down to the flat bench, keeping the core braced and allowing the elbows to flare about 45 degrees away from the body. Then, press through the palms and straighten the arms to come back to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Bench_Push-Ups.mp4
Scapular Retraction,Strengthening,Upper Extremity,None,"trapezius, rhomboids, latissimus dorsi",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Scapular%20Retractions.mp4,"Seated in a chair without back support, try to sit up straight and squeeze the bottom tips of your shoulder blades together.",https://d351vh8f4f3ihs.cloudfront.net/Scapular_Retractions.mp4
Chin Tuck,Strengthening,Cervical,None,Cervical flexors,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Chin%20Tuck.mp4,"Seated in a chair without back support, try to sit up straight and elongate the area right under your head by bringing the top of your head up towards the ceiling. You should be trying to make a double chin expression.",https://d351vh8f4f3ihs.cloudfront.net/Chin_Tuck.mp4
Upper Trap Stretch,Stretch,Cervical,None,Upper Trapezius,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Upper%20Trapezius%20Stretch.mp4,"Seated in a chair, take one arm and grab the seat. With the other arm, gently grab the back side of your head and pull diagonally towards your armpit. You should feel a stretch in your neck on the side you are holding the chair seat.",https://d351vh8f4f3ihs.cloudfront.net/Upper_Trapezius_Stretch.mp4
Scalene Stretch,Stretch,Cervical,None,Scalene,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Scalene%20Stretch.mp4,"Seated in a chair, take one arm and grab the seat. With the other arm, gently grab above your ear. Pull your head so that your other ear is going towards your shoulder. You should feel a stretching in your neck on the side that is holding the seat.",https://d351vh8f4f3ihs.cloudfront.net/Scalene_Stretch.mp4
Arm slides,Range of Motion,Upper Extremity,None,"trapezius, rhomboids, latissimus dorsi",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Arm%20Slides.mp4,"Seated in a chair and with your arm on a table (you can use a towel under hand to assist), gently slide your arm forward until a stretch is felt. Return to starting position. Next slide arm slightly out to the side, then return to starting position. ",https://d351vh8f4f3ihs.cloudfront.net/Arm_Slides.mp4
Wall Walk,Range of Motion,Upper Extremity,None,"trapezius, rhomboids, latissimus dorsi, deltoids, infraspinatus, supraspinatus, teres minor, subscapularis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wall%20Walk.mp4,"Start by facing a wall and having your hand down by your side. Use your fingers to walk up the wall in a pain free motion. Make sure to avoid bringing your shoulder up towards your ears. When you can go no higher, walk your hand back down to the starting position.",https://d351vh8f4f3ihs.cloudfront.net/Wall_Walk.mp4
Grip,Strengthening,Upper Extremity,Towel,"flexor digitorum superficialis, flexor digitorum profondus, flexor policus longus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Grip.mp4,"Using a rolled up towel, squeeze your hand and hold. Slowly release",https://d351vh8f4f3ihs.cloudfront.net/Grip.mp4
Sidelying External Rotation,Strengthening,Upper Extremity,Dumbbell/Soup Can,Infraspinatus,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Sidelying%20External%20Rotation.mp4,"Laying on your side with your affected arm on top, bend your elbow so your hand is across your stomach. Squeeze your shoulder blade to initiate motion, and lift your arm off your stomach keeping your elbow at your side. Make sure to keep your wrist straight. Return to starting position slowly.",https://d351vh8f4f3ihs.cloudfront.net/Sidelying_External_Rotation.mp4
Child's Pose,Stretch,Lumbar,None,"Erector spinae, latissimus dorsi, obliques",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Childs%20Pose.mp4,"Starting on your hands and knees, slowly sit on your heels keeping your hands in the same position. If needed, bring your heels out to the side to avoid any irritation. Return to starting position. Next walk your hands out to the side and repeat motion of sitting on heels. Repeat on other side.",https://d351vh8f4f3ihs.cloudfront.net/Childs_Pose.mp4
Lower Trunk rotation,Stretch,Lumbar,None,"Erector spinae, transverse abdominis",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Lower%20Trunk%20Rotation.mp4,"Laying on your back with your knees bent, slowly rock your knees to one side (staying together) until your hip starts to lift off the ground. Stop at this point and return to center. Repeat on the other side.",https://d351vh8f4f3ihs.cloudfront.net/Lower_Trunk_Rotation.mp4
Supine March with Pelvic Tilt,Stabilization,Lumbar,None,Transverse abdominis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20March%20with%20Pelvic%20Tilt.mp4,"Laying on your back with your knees bent, perform a pelvic tilt. Maintaining the pelvic tilt, lift one foot slightly off the ground. Return to the ground and repeat with the other foot. Make sure to keep core engaged when lifting foot.",https://d351vh8f4f3ihs.cloudfront.net/Supine_March_with_Pelvic_Tilt.mp4
Prone Quad Stretch,Stretch,Lower Extremity,None,"Quadriceps, Psoas",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Prone%20Quad%20stretch.mp4,"Laying on your stomach, loop a towel or strap around your foot. Pull the towel over your shoulders until you feel a stretch in your thigh or knee. Hold and return to resting position. ",https://d351vh8f4f3ihs.cloudfront.net/Prone_Quad_stretch.mp4
VMO/Quad Set,Strengthening,Lower Extremity,None,Quadriceps,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/VMO_Quad%20set%20.mp4,"Laying on your back, tighten the muscles on the top of your thigh. Focus specifically on the one on the inner portion of your thigh. Hold and relax. ",https://d351vh8f4f3ihs.cloudfront.net/VMO_Quad_set_.mp4
Step Ups,Strengthening,Lower Extremity,None,"Quadriceps, Gluteus Maximus",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Step%20Up.mp4,"Facing a step or stairs, step up on the first step keeping your foot straight and knee in line with toes. Step back down leading with the same leg. Use upper extremity support as needed. ",https://d351vh8f4f3ihs.cloudfront.net/Step_Up.mp4
Single Leg Balance,Balance,Lower Extremity,None,"Quadriceps, Gluteus Maximus, gastrocnemius",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Single%20Leg%20Balance.mp4,"Using upper extremity support as needed, keep one leg straight and lift up the foot of the other leg so you are balancing on just one leg. Maintain position for prescribed time and then return back to standing on two legs.",https://d351vh8f4f3ihs.cloudfront.net/Single_Leg_Balance.mp4
Balance (unstable),Balance,Lower Extremity,Towel,"Quadriceps, Gluteus Maximus, gastrocnemius",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Balance%20(unstable)%20.mp4,"Fold a towel or utilizing a soft/cushy surface to stand on. Using upper extremity support as needed, keep one leg straight and lift up the foot of the other leg so you are balancing on the unstable surface. Maintain position for prescribed time and then return back to standing on two legs.",https://d351vh8f4f3ihs.cloudfront.net/Balance_(unstable)_.mp4
Heel slide,Range of Motion,Lower Extremity,Towel,Hamstrings,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Heel%20Slides.mp4,"Laying on your back, loop a towel or strap around your foot. Slowly slide your heel towards your bottom and bend your knee. Try to initiate the motion and then use the strap to assist in pulling the leg. When you can go no further, return to starting position. ",https://d351vh8f4f3ihs.cloudfront.net/Heel_Slides.mp4
Short Arc Quad,Strengthening,Lower Extremity,Towel,Quadriceps,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Short%20Arc%20Quad.mp4,"Laying on your back, roll a towel or utilize a pillow under your knee so that it is bent. Squeeze the muscles on the top of your thigh and straighten your leg so that your heel comes off the ground. Hold position and return to ground.",https://d351vh8f4f3ihs.cloudfront.net/Short_Arc_Quad.mp4
Ankle Eversion with Band,Strengthening,Lower Extremity,Resistance Band,Peroneals,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Ankle%20Eversion%20with%20band.mp4,"Loop a resistance band around your foot of the affected leg. Take the band and wrap around your other foot. Keeping your toes pointed upwards, rotate your foot outwards so it stretches the band.",https://d351vh8f4f3ihs.cloudfront.net/Ankle_Eversion_with_band.mp4
Ankle Inversion with Band,Strengthening,Lower Extremity,Resistance Band,Posterior Tibialis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Ankle%20inversion%20with%20band.mp4,"Loop a resistance band around your foot of the affected leg. Cross your other leg over and wrap around your other foot. Keeping your toes pointed upwards, rotate your foot inwards so it stretches the band.",https://d351vh8f4f3ihs.cloudfront.net/Ankle_inversion_with_band.mp4
Ankle Dorsiflexion with Band,Strengthening,Upper Extremity,Resistance Band,Tibialis Anterior,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Ankle%20Dorsiflexion%20with%20band.mp4,"Loop a resistance band around your foot of the affected leg. Tie the band to a post or ask a family member to hold. Keeping your toes pointed upwards, bring your toes towards your shin",https://d351vh8f4f3ihs.cloudfront.net/Ankle_Dorsiflexion_with_band.mp4
Wrist Extension Stretch,Stretch,Wrist/Hand,None,flexor carpi radialis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Extension%20Stretch.mp4,Take your affected arm and straighten your elbow. Take your other hand and grab onto your affected arms palm. Pull the hand back so that you feel a stretch.,https://d351vh8f4f3ihs.cloudfront.net/Wrist_Extension_Stretch.mp4
Wrist Flexion Stretch,Stretch,Upper Extremity,None,"extensor carpi radialis longus, extensor carpi radialis brevis, extensor carpi ulnaris",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Flexion%20Stretch.mp4,Take your affected arm and straighten your elbow. Take your other hand and grab onto the back of the hand of your affected arms  Pull the hand down so that you feel a stretch.d,https://d351vh8f4f3ihs.cloudfront.net/Wrist_Flexion_Stretch.mp4
Wrist Flexion,Range of Motion,Upper Extremity,None,flexor carpi radialis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Flexion.mp4,"With your arm supported on a surface, turn your hand so your palm is facing up. Bend your wrist so that your palm is going up to the ceiling.",https://d351vh8f4f3ihs.cloudfront.net/Wrist_Flexion.mp4
Wrist Extension,Range of Motion,Upper Extremity,None,"extensor carpi radialis longus, extensor carpi radialis brevis, extensor carpi ulnaris",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Extension.mp4,"With your arm supported on a surface, turn your hand so that your palm is facing down. Bend your wrist so that the back of your hand is going up towards the ceiling.",https://d351vh8f4f3ihs.cloudfront.net/Wrist_Extension.mp4
Wrist Radial Deviation,Range of Motion,Upper Extremity,None,Flexor Carpi Radialis. Extensor Carpi Radialis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Wrist%20Radial%20Deviation.mp4,"With your arm supported on a surface, turn your hand so that your pinky is down towards the ground (neutral position). Bend your wrist so that your thumb is going up towards the ceiling. ",https://d351vh8f4f3ihs.cloudfront.net/Wrist_Radial_Deviation.mp4
Supination/Pronation,Range of Motion,Upper Extremity,None,"pronator teres, pronator quadratus, flexor carpi radialis, supinator, biceps brachii",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supination_Pronation.mp4,"With your arm supported on a surface, turn your hand so that your palm is facing up. Next rotate your wrist so that your palm is facing down.",https://d351vh8f4f3ihs.cloudfront.net/Supination_Pronation.mp4
Pinch,Strengthening,Upper Extremity,None,"adductor pollicis, first dorsal interosseous, flexor pollicis brevis muscles.",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Pinch.mp4,"Using a rolled up towel or something soft, squeeze the towel between your index finger, middle finger and thumb. Hold and relax. ",https://d351vh8f4f3ihs.cloudfront.net/Pinch.mp4
Resisted Wrist Flexion,Strengthening,Upper Extremity,Dumbbell/Soup Can,flexor carpi radialis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Resisted%20Wrist%20Flexion.mp4,"With your arm supported on a surface and holding a weight (soup can or dumbbell), turn your hand so your palm is facing up. Bend your wrist so that your palm is going up to the ceiling.",https://d351vh8f4f3ihs.cloudfront.net/Resisted_Wrist_Flexion.mp4
Resisted Wrist Extension,Strengthening,Upper Extremity,Dumbbell/Soup Can,"extensor carpi radialis longus, extensor carpi radialis brevis, extensor carpi ulnaris",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Resisted%20Wrist%20Extension.mp4,"With your arm supported on a surface and holding a weight (soup can or dumbbell), turn your hand so that your palm is facing down. Bend your wrist so that the back of your hand is going up towards the ceiling.",https://d351vh8f4f3ihs.cloudfront.net/Resisted_Wrist_Extension.mp4
Resisted Wrist Radial Deviation,Strengthening,Upper Extremity,Dumbbell/Soup Can,Flexor Carpi Radialis. Extensor Carpi Radialis,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Resisted%20Wrist%20Radial%20Deviation.mp4,"With your arm supported on a surface and holding a weight (soup can or dumbbell), turn your hand so that your pinky is down towards the ground (neutral position). Bend your wrist so that your thumb is going up towards the ceiling. ",https://d351vh8f4f3ihs.cloudfront.net/Resisted_Wrist_Radial_Deviation.mp4
Resisted Supination/Pronation,Strengthening,Upper Extremity,Dumbbell/Soup Can,"pronator teres, pronator quadratus, flexor carpi radialis, supinator, biceps brachii",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Resisted%20Pronation_Supination.mp4,"With your arm supported on a surface and holding a weight (soup can or dumbbell), turn your hand so that your palm is facing up. Next rotate your wrist so that your palm is facing down.",https://d351vh8f4f3ihs.cloudfront.net/Resisted_Pronation_Supination.mp4
Active straight leg raise,Strengthening,Lower Extremity,None,"Quadriceps, Hip flexors, Core",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Straight%20Leg%20Raise.mp4,"Laying on your back, keep one leg straight and the other one bent with your foot flat on ground. Squeeze your thigh muscles of the straight leg and push your back down into the ground. Keeping your back flat, left your leg off the ground up to the level of the bent leg. Return to starting position.",https://d351vh8f4f3ihs.cloudfront.net/Straight_Leg_Raise.mp4
Towel Scrunches,Strengthening,Lower Extremity,Towel,"intrinsic foot muscles, interossei. lumbrical",https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Towel%20Scrunch.mp4,"Seated in a chair, put your feet on top of a towel (This exercise works better when you are on hard floor vs carpet). Using your toes, try to scrunch up the towel. When it is scrunched, try to spread it back out. ",https://d351vh8f4f3ihs.cloudfront.net/Towel_Scrunch.mp4
Supine Hamstring Stretch,Stretch,Lower Extremity,None,Hamstrings,https://usa-new-york-001.nyc3.cdn.digitaloceanspaces.com/Exercises/Supine%20Hamstring%20Stretch.mp4,"Laying on your back with one leg bent, grab behind the knee of your affected leg and interlace fingers. Supporting the weight of the leg in your hands, straighten knee so you feel a stretch in the back of your leg. Bend knee to release stretch.",https://d351vh8f4f3ihs.cloudfront.net/Supine_Hamstring_Stretch.mp4
